,0,1,2,3,4,5,6,7,8,9
Ayo & Teo,"""Rolex"" by Ayo & Teo:
    BL$$D
    What's in that bag, boy?
    Rollie, rollie, rollie (Rollie shit)
    BL$$D
    
    I just want a Rollie, Rol...","""Last Forever"" by Ayo & Teo:
    Squat made the beat
    Go Grizz
    Wi-winner circle
    
    I got what you like, yeah
    Don't put up a fight
    No, no...","""Fly N Ghetto"" by Ayo & Teo:
    Girl you fly and ghetto, with them brand new high heel stilettos
    Smell like weed and rose petals
    Hea...","""Like Us"" by Ayo & Teo:
    What if God was like us?
    Had a squad just like us?
    Always poppin' tags just like us?
    Gucci bags just...","""Lit Right Now"" by Ayo & Teo:
    Aye Mateo man, wake up man, c'mon
    You over there sleep, but I'm lit man, get up!
    Why?
    Get up!
    Why?
    B...","""Rolex (Steve Aoki Remix)"" by Ayo & Teo:
    Rollie, Rollie, Rollie
    Steve Aoki
    
    I just want a Rollie, Rollie, Rollie with a dab of ranch
    I alread...","""Ay3"" by Ayo & Teo:
    BL$$D
    Aye
    Aye, aye, aye, aye, aye
    Aye
    Aye
    Aye
    Young BL$$D, boy, you saucin'
    
    I'm in the whip, aye
    I'...","""Better Off Alone"" by Ayo & Teo:
    What's in that bag, boy?
    Young BL$$D, boy you saucin'
    BL$$D
    
    Tell me where you're goin' (tell me whe...","""Bring a Friend"" by Ayo & Teo:
    First she hit me up, she said come over, bring a friend
    Oh I ain't goin' unless we amend
    She said ""y...","""Goin’"" by Ayo & Teo:
    Mmmmmm
    Hmmmm
    Mmmmmmm
    Hmmmm
    Yeah , yuh , huh , woah
    Ohh yuh
    Yeah
    Yeah
    Hmm woah
    Woah (skrt)
    Yahhh
    And ..."
Ayumi Hamasaki,"""BLUE BIRD"" by 浜崎あゆみ (Ayumi Hamasaki):
    浜崎あゆみ「BLUE BIRD」の歌詞
    グレーな云が流れたら
    この空が泣き止んだら
    君の声で目を覚ます
    ちょっと长めの眠りから
    君はそっと见守った
    この背の翼
    飞び立つ季节を待って
    青い空を共に行こう...","""SEASONS"" by 浜崎あゆみ (Ayumi Hamasaki):
    浜崎あゆみ「SEASONS」の歌詞
    今年もひとつ季節が巡って
    思い出はまた遠くなった
    曖昧だった夢と現実の
    境界線は濃くなった
    それでもいつか君に話した
    夢に嘘はひとつもなかった
    La La-i
    今日...","""M"" by 浜崎あゆみ (Ayumi Hamasaki):
    浜崎あゆみ「M」の歌詞
    
    ‘Maria' 愛すべき人がいて
    キズを負った全ての者達
    
    周りを見渡せば
    誰もが慌ただしく
    どこか足早に通り過ぎ
    今年も気が付けば
    こんなにすぐそばまで
    冬の気配が訪れてた...","""Dearest"" by 浜崎あゆみ (Ayumi Hamasaki):
    浜崎あゆみ「Dearest」の歌詞
    
    本当に大切なもの以外
    全て捨ててしまえたら
    いいのにね
    現実はただ残酷で
    そんな時いつだって
    目を閉じれば
    笑ってる君がいる
    
    Ah-いつか永遠の
    眠りにつく日ま...","""Boys & Girls"" by 浜崎あゆみ (Ayumi Hamasaki):
    Ta la la la...
    Kagayaki dashita bokura wo dare ga tomeru koto nado dekiru darou
    Habataki dashita kar...","""Voyage"" by 浜崎あゆみ (Ayumi Hamasaki):
    Bokutachi wa shiawase ni naru tame Kono tabiji wo yukun da
    Hora egao ga totemo ni au
    Iro aseru koto ...",,"""A Song for ××"" by 浜崎あゆみ (Ayumi Hamasaki):
    浜崎あゆみ「A Song for ××」の歌詞
    
    どうして泣いているの
    どうして迷ってるの
    どうして立ち止まるの
    ねぇ、教えて
    いつから大人になる
    いつまで子供でいいの
    どこから走ってきて
    ねぇ、どこ...","""Moments"" by 浜崎あゆみ (Ayumi Hamasaki):
    浜崎あゆみ「Moments」の歌詞
    Lalala...
    心が焦げついて焼ける匂いがした
    それは夢の終わりすべての始まりだった
    憧れてたものは美しく思えて
    手が届かないから輝きを増したのだろう
    君の砕け...","""MY ALL"" by 浜崎あゆみ (Ayumi Hamasaki):
    浜崎あゆみ「MY ALL」の歌詞
    一体もうどれ位の時間を
    共に過ごして来たんだろう
    一体もうどれ位の距離を
    共に進んだだろう
    僕達がこれまでに残してきた
    完璧じゃなくともキラキラした
    結晶が今ここに誇..."
Azealia Banks,"""212"" by Azealia Banks:
    Hey, I can be the answer
    I’m ready to dance when the vamp up
    And when I hit that dip get your camera...","""Luxury"" by Azealia Banks:
    Listen now
    I'll hip you, hip you now
    When I whistle, whistle owl
    I'm gonna split you, lift you, get
    ...","""1991"" by Azealia Banks:
    Excusez-moi, est-ce que vous savez où est un bon restaurant par ici?
    
    Oh, là là là
    Flirting with a c...","""Anna Wintour"" by Azealia Banks:
    (Yeah, yeah, yeah, yeah)
    (Yeah, yeah, yeah, yeah)
    
    I'm so cold, I'm so grown, I'm so real life
    I'm s...","""Miss Camaraderie"" by Azealia Banks:
    It’s the sound, the hip and hip and now
    When I hip you, hip you hound
    Get down or get tied up and tw...","""Liquorice"" by Azealia Banks:
    Look, niggas really wanna beat they chest for B-A-N-K-S
    These niggas be gorillas for the pin-k flesh...","""Count Contessa"" by Azealia Banks:
    Cha cha cha cha cha cha cha cha cha, cha cha
    Cha cha cha cha cha cha cha cha cha, cha cha
    Cha cha ch...","""The Big Big Beat"" by Azealia Banks:
    Uhh, I'm interrupted... Sometimes I wish I never got the motherfucking thing
    Uhh, I'm interrupted......","""Fierce"" by Azealia Banks:
    Bambi, belle of the ball
    Banjee, better than them all
    Never been a flaw
    Pretty kitty manicure the cl...","""Heavy Metal and Reflective"" by Azealia Banks:
    Fridgy Froze Kept
    It's that fresh bitch
    I be in that prissy stone set
    With that wet wrist
    Flighty bi..."
Azymuth,,,,,,,"""Roda Pião"" by Azymuth:
    Letra de ""Roda Pião"" por Azymuth
    O pião entrou na roda, ó pião!
    O pião entrou na roda, ó pião!
    Roda ...","""What They Thought of Us in Martair"" by Herman Melville:
    Several quiet days now passed away, during which we just worked sufficiently to sharpen our appetite...",,
B-Liv,"""Long Time Coming"" by Lil’ Cease:
    Let these Muthafuckaz know (Brooklyn)
    We ain't playin(It's my time to shine)
    We gonna let B.I.G. liv...","""Shutdown"" by Von Lion:
    När vi turn up det blir shutdown
    Gör det everyday, De e Freak town
    Sedlar på min minne de min playgr...","""The Book of Hallowe’en - Chapter 7"" by Ruth Edna Kelly:
    HALLOWE'EN BELIEFS AND CUSTOMS IN IRELAND
    IRELAND has a literature of Hallowe'en, or ""Samhain,"" as i...","""Danske Albumudgivelser 2020"" by Genius Danmark:
    JANUAR1.: Benny Jamz - 1010 (14/14)
    1.: Jamaika - Dedikeret (8/8)
    3.: Benjamin Hav - Spice up your l...","""Player Cypher"" by JUDA$$ (DNK):
    Jeg tager damer med i bimmer, så tro mig at vi ruller
    Mit glas det bliver tommere, mens jeg bliver b...",,,,"""Timerne Går"" by Natasja:
    Åh, mennesker, mennesker dog
    Små besynderlige sølle skrog
    Over vor forstand, vore behov
    Altid ude på...","""SolkongenCyphers #1"" by Solkongen:
    Vers 1 
    Jeg' den sejeste med seksten, der ingen her der knalder brikker
    Men jeg lover du' skakmat in..."
B-Real,"""Live on Stage"" by Dilated Peoples:
    So I want to bring to the stage right now: Evidence, Rakaa Iriscience, and DJ Ba-bu!--The Dilated Pe...","""All 289 Eminem Songs, Ranked"" by Kyle McGovern:
    Fifteen years ago, the American public was introduced to Marshall Mathers, Eminem, and Slim Shady, a...","""Girls (Limp Bizkit Diss)"" by Eminem:
    Ayo, dawg, I got some shit on my motherfuckin' chest
    That I need to get off 'cause if I don't
    I'ma f...","""American Psycho II"" by D12:
    Yeah, homie
    I thought we told you, we been fucking loco
    Cypress Hill, D12, bitch!
    
    I'm a little bit ...","""Everything U Want"" by B-Real:
    Wooo! Let's go
    Ha, ha, ho
    
    It's so close, I can feel it in my hands
    Everything I ever wanted and the...",,"""All 289 Eminem Songs, Ranked"" by Kyle McGovern:
    Fifteen years ago, the American public was introduced to Marshall Mathers, Eminem, and Slim Shady, a...","""Just Like You"" by Down/Kilo:
    Chorus:
     I'm a drinker, I'm a thinker, homey
     Just like you
     I'm a sinner and a winner, ese
     Just li...","""Just Like You"" by Down/Kilo:
    Chorus:
     I'm a drinker, I'm a thinker, homey
     Just like you
     I'm a sinner and a winner, ese
     Just li...","""Worst Nightmare"" by Demigodz:
    ""I be the worst nightmare to all the MC"" -Flipmode Squad  'We Got Cha Opin (Part 2)'
    ""Hell raiser, r..."
B.B. King,,"""KISS Grime Freestyle with Rude Kid"" by YGG:
    ## Freestyle
    
    We're like YGG, G, we're like YGG
    G, we're like YGG, everybody knows my team YGG
    Had y...",,"""Childe Harold’s Good Night"" by Lord Byron:
    Childe Harold's Good Night
    ""Adieu, adieu! my native shore
    Fades o'er the waters blue;
    The night-wind...","""Still Sippin’"" by Sha Hef:
    Yeah nigga, still sippin' jug, you heard
    The fuck you niggas talking 'bout
    Super Villain shit, O.T.M...","""Aux Cord"" by Big K.R.I.T.:
    Yeah, just pass the aux cord man
    Yeah, just pass the aux cord
    Heh, yeah yeah
    
    I'm just tryna play th...","""NAT GEO"" by G-Side:
    I'm in the jungle dreaming, eyes open
    Rethink the impossible, so I stop hoping
    When I was in school ...","""RapCaviar 12/4/20"" by Spotify:
    1. Lil Baby- Errbody
    2. CJ- Whoopty
    3. Future & Lil Uzi Vert- Drankin N Smokin
    4. Lil Baby- On Me
    5....","""Rap DZ 2020 إصدارات الراب الجزائري"" by Genius Arabia:
    : ألبومات / Albums
    98Squad - Ep Notif
    213 - cake season EP
    Adel Sweezy - Album Help
    Anis ZNK - Album...","""Please Love Me"" by B.B. King:
    I was in love with you, baby
    Honey, before I learned to call your name
    I was in love with you, baby
    ..."
B.o.B,"""Top 20 [WORK IN PROGRESS]"" by Almighty U-Sorcerer:
    1. Kanye West
    Best feature of his rapping: My Beautiful Dark Twisted Fantasy
    Certified classic album...","""Bob George"" by Prince:
    Damn
    Let me see you dance
    
    New coat, huh?
    That's nice
    Did you buy it?
    Yeah, right
    You seeing that ri...","""Thirty Dozen Roses"" by Bob Mould:
    Some days, my brain blows up in an elegant way
    My muse, short fuse, time bomb, what's left to lose?
    ...","""Down for the Count"" by Girl Talk:
    Oh, baby do you know what that's worth?
    Oh, Heaven is a place on earth
    They say in Heaven, love come...","""1996 (Elevators Freestyle)"" by Este:
    Okay
    This my rookie season man, I'm trying to be the greatest
    Right now I'm like an Outkast, high as...","""Hot Rap Songs Chart 25th Anniversary: Top 100 Songs"" by Billboard:
    To honor the 25th anniversary of Billboard's Hot Rap Songs chart, we’re counting down the tally's to...","""Meus Herois"" by Fabio Brazza:
    Desde os 11 anos eu queria ser um mártir
    Eu não tinha planos, tinha sonhos como Martin
    Queria ser gr...","""B.O.B."" by OutKast:
    One, two
    One, two, three, yeah!
    
    Inslumnational, underground
    Thunder pounds when I stomp the ground ...","""Genius Users Summer Playlist"" by Genius Users:
    HgsCa
    Dubbelquatrin om tennis
    ---
    Zenith9
    Summer 2016
    D.R.A.M ft Lil Yachty - Broccoli
    Kano - T-shir...","""My Very Good Favorite Songs From Recommended Albums"" by Chams called me cutie at 11:05 pm on 4/15/21:
    Thread for recommendations here
    *Already listened but relistened because why not*
    1. Gang Starr - Mo..."
BABYMETAL,"""Getaway"" by Becky Baeling:
    Getaway (repeats in the background)
    I've been watching you (repeats)
    Baby love
    I need your love
    I wa...","""Band Names"" by Rock Genius:
    0-9
    10 Years
    100 Demons
    1000 Homo DJs
    12 Stones
    1349
    16Volt
    The 1975
    2nd and Archer
    2x4
    3
    3 Doors Do...","""Kingslayer"" by Bring Me The Horizon:
    Blegh
    
    Hi, are you looking for the other side?
    Feel like nothing ever seems quite right?
    Are you cir...","""Band Names"" by Rock Genius:
    0-9
    10 Years
    100 Demons
    1000 Homo DJs
    12 Stones
    1349
    16Volt
    The 1975
    2nd and Archer
    2x4
    3
    3 Doors Do...",,"""Pulp Fiction full screenplay"" by Quentin Tarantino:
    ""PULP FICTION""
    By
    Quentin Tarantino & Roger Avary
    
    PULP  n.
    1. A soft, moist, shapeless mass or matt...","""Band Names"" by Rock Genius:
    0-9
    10 Years
    100 Demons
    1000 Homo DJs
    12 Stones
    1349
    16Volt
    The 1975
    2nd and Archer
    2x4
    3
    3 Doors Do...","""New Music Friday 05/11/18"" by Spotify:
    Rita Ora - Girls (feat. Cardi B, Bebe Rexha & Charli XCX)
    Charlie Puth - Patient
    Childish Gambino - ...","""Pulp Fiction full screenplay"" by Quentin Tarantino:
    ""PULP FICTION""
    By
    Quentin Tarantino & Roger Avary
    
    PULP  n.
    1. A soft, moist, shapeless mass or matt...","""Band Names"" by Rock Genius:
    0-9
    10 Years
    100 Demons
    1000 Homo DJs
    12 Stones
    1349
    16Volt
    The 1975
    2nd and Archer
    2x4
    3
    3 Doors Do..."
BADBADNOTGOOD,"""Time Moves Slow"" by BADBADNOTGOOD:
    I found you at the window again
    Looking out, watching the leaves falling in
    And it was something lik...","""In Your Eyes"" by BADBADNOTGOOD:
    Don't blow me off so I can't help it
    When you shy off I can't help it
    And I know you know it's wrong...",,"""Key to Love (Is Understanding)"" by BADBADNOTGOOD:
    The key to love is understanding
    The key to love is understanding
    The key to love is understanding
    T...","""Ray Gun"" by BADBADNOTGOOD & Ghostface Killah:
    Yo, yo
    Back in black, it's your local superhero from the hood
    Ironman Stark's got the good
    Not that ...",,"""Goodbye Blue"" by BADBADNOTGOOD:
    Tu es le blue de ma vie, vie, vie, vie
    Tu es le blue de ma vie, vie, vie, vie
    I'm so colourblind
    Tu ...","""Sour Soul"" by BADBADNOTGOOD & Ghostface Killah:
    Yo, cleanse me, clean me of my sour soul, I'm vicious
    My mind races from the satellite dishes
    No tec...","""Six Degrees"" by BADBADNOTGOOD & Ghostface Killah:
    Dangerous thoughts, mind of a militia
    Bottles of the 1-50 poured over twistas
    Broken bones and pilla...",
BAYNK,"""Go with U"" by BAYNK:
    I'll go with you, with you, ah
    
    Crazy, staring at your body in amazement
    Feel me sinking deeper in y...","""Go with u - Louis La Roche Remix"" by BAYNK:
    New light, started in your bedroom in those blue lights
    Swimming in the shallow of those blue eyes
    K...","""Settle"" by BAYNK:
    It's not what you say to me
    No, it's just the way that you say it to me
    So tell me you want me tonig...","""Simmer"" by BAYNK:
    I could turn the lights off
    Put this thing to bed
    ‘Cause lately I've been so lost
    Turn to you and sa...","""Water"" by BAYNK:
    Something's in the water and it's giving people nightmares
    Seeing into Heaven, but we don't know how...","""Come Home"" by BAYNK:
    The world is burning
    Just come home
    I can feel my body turning
    Come home
    Even though the world is bu...","""DOWN"" by BAYNK:
    Splashing in the water time
    Curling up beside ya on the be-e-ed
    Be-e-ed
    Splashing in the water time
    ...","""TESSELLATE"" by BAYNK:
    Heavy hit, pavement
    Lying down, let it rush to my head
    Spilled milk, broken glass
    Counted every minu...","""What You Need"" by BAYNK:
    Boy, you had it from the start
    Played the game, you played your part
    Heavy hearts and cautious dream...","""Poolside"" by BAYNK:
    Sitting poolside
    Wondering if I'll find a girl like you
    Or if I'm gonna die
    With nobody to hold on t..."
